Date,Open,High,Low,Close,Adj Close,Volume
2020-07-21,18.299999,18.820000,18.090000,18.580000,18.388533,113300
2020-07-22,18.430000,18.820000,18.320000,18.750000,18.556782,99900
2020-07-23,18.920000,19.610001,18.809999,19.400000,19.200081,390800
2020-07-24,19.450001,19.629999,18.770000,18.900000,18.705235,67000
2020-07-27,18.940001,19.469999,18.629999,19.420000,19.219877,100600
2020-07-28,19.299999,19.959999,18.910000,19.650000,19.447506,144500
2020-07-29,21.870001,23.900000,21.450001,23.299999,23.059893,369500
2020-07-30,22.920000,23.170000,22.250000,23.100000,22.861954,216100
2020-07-31,22.770000,22.879999,21.200001,22.110001,21.882156,235800
2020-08-03,22.420000,22.459999,21.780001,22.250000,22.020714,176200
2020-08-04,22.180000,22.650000,22.110001,22.340000,22.109785,101600
2020-08-05,22.590000,22.700001,22.180000,22.450001,22.218653,135500
2020-08-06,22.500000,22.920000,22.410000,22.660000,22.426489,119500
2020-08-07,22.559999,23.170000,22.530001,23.070000,22.921276,156600
2020-08-10,23.070000,23.799999,23.070000,23.469999,23.318699,108400
2020-08-11,23.700001,24.010000,23.299999,23.430000,23.278957,107900
2020-08-12,23.790001,23.790001,23.170000,23.440001,23.288893,70400
2020-08-13,23.230000,23.400000,22.889999,23.219999,23.070309,66500
2020-08-14,23.070000,23.170000,22.820000,22.969999,22.821922,49500
2020-08-17,23.020000,23.040001,22.760000,22.820000,22.672888,57500
2020-08-18,22.730000,22.730000,22.309999,22.500000,22.354952,76400
2020-08-19,22.440001,23.389999,22.440001,22.860001,22.712633,91000
2020-08-20,22.559999,22.650000,22.360001,22.450001,22.305277,52800
2020-08-21,22.290001,22.350000,22.180000,22.309999,22.166178,86500
2020-08-24,22.370001,22.850000,22.180000,22.709999,22.563599,71600
2020-08-25,22.990000,23.160000,22.480000,22.570000,22.424501,83000
2020-08-26,22.510000,22.510000,22.120001,22.200001,22.056887,55500
2020-08-27,22.110001,22.610001,22.110001,22.520000,22.374823,61300
2020-08-28,22.690001,22.690001,22.200001,22.370001,22.225792,31500
2020-08-31,22.290001,22.320000,21.950001,22.139999,21.997272,94200
2020-09-01,22.030001,22.290001,21.980000,22.270000,22.126434,68800
2020-09-02,22.270000,22.600000,22.100000,22.490000,22.345016,74100
2020-09-03,22.549999,22.559999,21.920000,22.090000,21.947596,112800
2020-09-04,22.430000,22.430000,21.850000,22.150000,22.007208,66100
2020-09-08,22.030001,22.030001,21.410000,21.520000,21.381271,72200
2020-09-09,21.559999,22.360001,21.559999,21.900000,21.758821,125900
2020-09-10,21.900000,22.090000,21.270000,21.290001,21.152754,157100
2020-09-11,21.379999,21.379999,20.680000,21.190001,21.053398,170800
2020-09-14,21.500000,22.330000,21.320000,22.190001,22.046951,165600
2020-09-15,22.440001,22.650000,21.100000,21.170000,21.033525,79400
2020-09-16,21.180000,21.620001,21.059999,21.350000,21.212366,92300
2020-09-17,21.120001,21.200001,20.889999,21.020000,20.884493,67200
2020-09-18,21.200001,21.590000,20.990000,21.459999,21.321655,179000
2020-09-21,21.049999,21.049999,20.370001,20.879999,20.745396,130500
2020-09-22,21.020000,21.020000,20.219999,20.379999,20.248617,53400
2020-09-23,20.240000,20.920000,20.240000,20.809999,20.675846,92200
2020-09-24,20.860001,21.309999,20.709999,21.049999,20.914299,73700
2020-09-25,20.860001,21.530001,20.860001,21.309999,21.172623,81800
2020-09-28,21.559999,22.230000,21.530001,21.990000,21.848240,87000
2020-09-29,22.080000,22.110001,21.740000,21.820000,21.679337,57900
2020-09-30,21.719999,22.400000,21.690001,22.309999,22.166178,69700
2020-10-01,22.290001,22.549999,21.959999,22.510000,22.364887,73400
2020-10-02,22.299999,23.549999,22.260000,23.500000,23.348505,102500
2020-10-05,23.570000,24.430000,23.570000,24.360001,24.202963,142500
2020-10-06,24.370001,24.480000,23.480000,23.580000,23.427990,116800
2020-10-07,23.770000,24.270000,23.520000,23.570000,23.418055,92200
2020-10-08,23.750000,23.980000,23.700001,23.790001,23.636639,84900
2020-10-09,23.850000,24.370001,23.719999,24.000000,23.845282,67100
2020-10-12,23.990000,24.340000,23.790001,24.150000,23.994314,49000
2020-10-13,23.910000,24.049999,23.590000,23.840000,23.686314,66800
2020-10-14,23.760000,24.020000,23.360001,23.490000,23.338570,103500
2020-10-15,23.209999,24.000000,22.980000,23.850000,23.696249,110900
2020-10-16,23.709999,24.309999,23.570000,24.049999,23.894960,77600
2020-10-19,24.150000,24.170000,23.610001,23.750000,23.596893,62400
2020-10-20,23.940001,24.080000,23.639999,23.770000,23.616764,58300
2020-10-21,23.879999,24.059999,23.760000,24.030001,23.875090,34500
2020-10-22,24.139999,24.650000,23.950001,24.500000,24.342060,46500
2020-10-23,24.559999,25.219999,24.559999,24.750000,24.590448,59500
2020-10-26,24.490000,24.490000,23.709999,24.040001,23.885025,48400
2020-10-27,24.049999,24.379999,23.750000,24.260000,24.103607,88800
2020-10-28,24.070000,26.180000,23.600000,25.500000,25.335611,304500
2020-10-29,25.780001,26.230000,25.070000,25.700001,25.534325,123000
2020-10-30,25.760000,26.129999,25.450001,25.809999,25.643614,121300
2020-11-02,26.139999,26.459999,25.950001,26.270000,26.100649,87600
2020-11-03,26.510000,27.930000,26.500000,27.740000,27.561172,108900
2020-11-04,27.330000,27.840000,27.070000,27.350000,27.173687,69400
2020-11-05,27.480000,28.260000,27.420000,27.780001,27.600914,47100
2020-11-06,27.889999,27.889999,26.969999,27.049999,26.972713,60400
2020-11-09,27.530001,28.610001,26.780001,26.790001,26.713457,128800
2020-11-10,27.129999,27.620001,26.510000,27.139999,27.062456,60300
2020-11-11,27.110001,27.549999,26.690001,27.070000,26.992657,49200
2020-11-12,26.990000,27.379999,26.520000,27.180000,27.102343,68800
2020-11-13,27.360001,28.100000,27.219999,27.879999,27.800343,60800
2020-11-16,28.530001,29.719999,28.250000,29.219999,29.136513,134300
2020-11-17,29.299999,29.790001,28.730000,28.920000,28.837372,57200
2020-11-18,28.930000,29.280001,28.610001,28.610001,28.528257,52200
2020-11-19,28.580000,28.990000,28.330000,28.719999,28.637941,46300
2020-11-20,28.680000,29.000000,28.120001,28.889999,28.807457,63000
2020-11-23,29.240000,29.389999,28.820000,28.900000,28.817429,58500
2020-11-24,29.150000,29.500000,28.950001,29.230000,29.146484,112600
2020-11-25,29.100000,29.270000,28.540001,28.809999,28.727686,70000
2020-11-27,28.740000,28.780001,28.000000,28.459999,28.378685,28800
2020-11-30,28.389999,28.389999,27.150000,27.209999,27.132256,108500
2020-12-01,27.350000,28.760000,27.309999,27.870001,27.790373,96000
2020-12-02,27.700001,27.860001,27.209999,27.690001,27.610886,55600
2020-12-03,27.740000,28.170000,27.600000,27.730000,27.650770,42700
2020-12-04,27.910000,28.700001,27.879999,28.650000,28.568142,43900
2020-12-07,28.639999,28.799999,28.290001,28.540001,28.458458,58300
2020-12-08,28.320000,29.379999,28.230000,29.260000,29.176399,114400
2020-12-09,29.480000,30.610001,29.379999,29.850000,29.764715,177100
2020-12-10,31.990000,31.990000,29.900000,30.719999,30.632227,262000
2020-12-11,30.610001,30.700001,29.639999,29.709999,29.625113,107400
2020-12-14,30.150000,30.270000,29.110001,29.450001,29.365858,100400
2020-12-15,29.770000,29.770000,29.370001,29.500000,29.415714,83000
2020-12-16,29.510000,29.540001,28.780001,29.049999,28.966999,91200
2020-12-17,29.010000,29.780001,28.780001,29.750000,29.664999,135100
2020-12-18,29.809999,30.559999,29.340000,30.000000,29.914286,232800
2020-12-21,29.799999,30.420000,29.299999,30.200001,30.113714,92500
2020-12-22,30.330000,30.610001,29.990000,30.510000,30.422829,71200
2020-12-23,30.549999,31.110001,30.379999,30.490000,30.402885,81300
2020-12-24,30.709999,30.950001,30.280001,30.840000,30.751886,29900
2020-12-28,31.000000,31.590000,30.990000,31.400000,31.310286,86500
2020-12-29,31.299999,31.750000,30.420000,30.760000,30.672113,80400
2020-12-30,31.059999,31.670000,30.889999,30.940001,30.851601,46500
2020-12-31,31.000000,31.540001,30.910000,31.320000,31.230515,53200
2021-01-04,31.520000,31.620001,30.709999,30.969999,30.881514,77900
2021-01-05,31.000000,32.020000,31.000000,31.809999,31.719114,94900
2021-01-06,32.049999,34.000000,32.049999,33.430000,33.334484,157100
2021-01-07,34.000000,34.430000,33.660000,33.980000,33.882915,117700
